name           old time/op    new time/op     delta
Spooky8-4        43.4ns ± 2%     31.0ns ± 1%   -28.58%  (p=0.000 n=26+29)
Spooky16-4       69.3ns ± 1%     44.6ns ± 1%   -35.68%  (p=0.000 n=24+29)
Spooky40-4       85.6ns ± 0%     47.6ns ± 1%   -44.42%  (p=0.000 n=29+29)
Spooky64-4        126ns ± 0%       60ns ± 1%   -52.11%  (p=0.000 n=19+29)
Spooky1K-4       1.16µs ± 3%     0.39µs ± 1%   -66.45%  (p=0.000 n=26+27)
Spooky8K-4       8.05µs ± 2%     2.65µs ± 1%   -67.08%  (p=0.000 n=29+28)
Siphash8-4       23.6ns ± 0%     22.5ns ± 0%    -4.70%  (p=0.000 n=29+18)
Siphash16-4      27.6ns ± 2%     26.3ns ± 0%    -4.52%  (p=0.000 n=29+30)
Siphash40-4      40.1ns ± 1%     39.0ns ± 0%    -2.65%  (p=0.000 n=28+29)
Siphash64-4      52.6ns ± 1%     52.1ns ± 1%    -1.05%  (p=0.000 n=30+30)
Siphash1K-4       549ns ± 1%      554ns ± 2%    +0.98%  (p=0.000 n=30+27)
Siphash8K-4      4.23µs ± 2%     4.25µs ± 3%    +0.40%  (p=0.040 n=30+27)
Farm8-4          26.9ns ± 0%     17.3ns ± 0%   -35.69%  (p=0.000 n=20+24)
Farm16-4         26.8ns ± 1%     17.3ns ± 1%   -35.63%  (p=0.000 n=28+30)
Farm40-4         63.5ns ± 0%     32.7ns ± 0%   -48.57%  (p=0.000 n=27+28)
Farm64-4         63.6ns ± 0%     32.6ns ± 0%   -48.67%  (p=0.000 n=26+27)
Farm1K-4         1.02µs ± 3%     0.19µs ± 1%   -81.44%  (p=0.000 n=29+26)
Farm8K-4         7.22µs ± 1%     1.20µs ± 1%   -83.42%  (p=0.000 n=26+26)
CFarmhash8-4      217ns ± 1%      203ns ± 1%    -6.71%  (p=0.000 n=30+28)
CFarmhash16-4     216ns ± 2%      203ns ± 1%    -5.92%  (p=0.000 n=30+30)
CFarmhash40-4     208ns ± 0%      210ns ± 2%    +0.93%  (p=0.000 n=22+28)
CFarmhash64-4     216ns ± 3%      210ns ± 1%    -2.81%  (p=0.000 n=30+30)
CFarmhash1K-4     297ns ± 3%      298ns ± 1%    +0.46%  (p=0.000 n=27+30)
CFarmhash8K-4     908ns ± 1%      910ns ± 1%    +0.20%  (p=0.011 n=28+29)
City8-4          24.2ns ± 1%     14.2ns ± 1%   -41.31%  (p=0.000 n=29+28)
City16-4         24.2ns ± 2%     14.2ns ± 0%   -41.39%  (p=0.000 n=27+18)
City40-4         66.1ns ± 1%     32.3ns ± 1%   -51.12%  (p=0.000 n=28+30)
City64-4         66.1ns ± 1%     32.3ns ± 0%   -51.12%  (p=0.000 n=24+22)
City1K-4         1.36µs ± 3%     0.65µs ± 1%   -52.37%  (p=0.000 n=26+28)
City8K-4         10.3µs ± 1%      4.7µs ± 1%   -54.05%  (p=0.000 n=27+30)
